Sales_MinMax,Age_Group,Customer_Segment,Sales,Notes,Payment_Method,Satisfaction_Score,Age,Ship_Date,Order_Date,Unit_Price,Order_ID,Customer_ID,Customer_Name,Email,Country,City,Product_Category,Quantity,Discount
0.306251999,65+,Consumer,1283.94,missing phone,Bank Transfer,3,69,25/01/2026,20/01/2026,142.66,O1091,C018,Carlos Garcia,carlos.garcia@example.com,France,Lyon,Home,10,0.1
0.110171126,65+,Corporate,480.83,missing phone,Paypal,3,45,29/01/2026,26/01/2026,188.56,O1028,C040,Laura Rossi,laura.rossi@example.com,Germany,Karlsruhe,Furniture,3,0.15
0.087877612,55–64,Consumer,389.52,ok,Credit Card,4,64,10/01/2026,06/01/2026,129.84,O1079,C047,John Doe,john.doe@example.com,Germany,Mannheim,Furniture,4,0.25
0.518742324,35–44,Consumer,2154.26,check address,Paypal,3,36,12/02/2026,03/02/2026,188.97,O1063,C024,Mehdi Karimi,mehdi.karimi@example.com,Spain,Madrid,Home,12,0.05
0.017659511,55–64,Consumer,101.92,none,Credit Card,2,62,01/05/2026,26/04/2026,25.48,O1082,C014,Nina Weber,nina.weber@example.com,France,Paris,Furniture,5,0.2
0.752132057,55–64,Corporate,3110.18,urgent,Credit Card,3,60,24/04/2026,,353.43,O1034,C022,Carlos Garcia,carlos.garcia@example.com,Netherlands,Amsterdam,Office Supplies,11,0.2
0.220498509,55–64,Corporate,932.71,urgent,Cash,3,62,24/01/2026,20/01/2026,177.66,O1088,C046,Anna Müller,,Netherlands,Amsterdam,Home,7,0.25
0.042570334,Under 25,Corporate,203.95,check address,Credit Card,3,19,24/03/2026,22/03/2026,40.79,O1050,C040,Maha Zadeh,maha.zadeh@example.com,France,Paris,Office Supplies,5,0
0,55–64,Corporate,29.59,ok,Bank Transfer,5,60,,27/01/2026,19.73,O1001,C016,Maha Zadeh,maha.zadeh@example.com,Germany,Mannheim,Office Supplies,2,0.25
0.049750843,45–54,Corporate,233.36,return risk,Credit Card,1,50,26/03/2026,16/03/2026,58.34,O1092,C012,Ali Reza,ali.reza@example.com,France,Lyon,Furniture,5,0.2
0.034669577,55–64,Consumer,171.59,return risk,Credit Card,1,55,11/03/2026,06/03/2026,190.66,O1031,C003,Laura Rossi,laura.rossi@example.com,Spain,Madrid,Office Supplies,1,0.1
0.323830939,65+,Corporate,1355.94,none,Paypal,3,70,26/01/2026,19/01/2026,251.1,O1062,C032,Mehdi Karimi,mehdi.karimi@example.com,Germany,Mannheim,Furniture,6,0.1
0.210183090,55–64,Corporate,890.46,ok,Bank Transfer,4,56,16/01/2026,,130.95,O1030,C054,Anna Müller,anna.muller@example.com,Netherlands,Amsterdam,Office Supplies,8,0.15
0.811827209,45–54,Home Office,3354.68,return risk,Paypal,4,52,08/05/2026,06/05/2026,392.36,O1033,C019,Ali Reza,,Italy,Milan,Office Supplies,9,0.05
0.355148310,Under 25,Corporate,1484.21,check address,Credit Card,5,22,24/03/2026,,206.14,O1042,C051,John Doe,,Italy,Naples,Furniture,9,0.2
0.298478201,25–34,Corporate,1252.1,ok,Bank Transfer,2,31,29/03/2026,27/03/2026,329.5,O1049,C020,Mehdi Karimi,mehdi.karimi@example.com,Italy,Milan,Office Supplies,4,0.05
0.295834035,55–64,Consumer,1241.27,missing phone,Bank Transfer,1,56,12/05/2026,08/05/2026,326.65,O1037,C050,Laura Rossi,laura.rossi@example.com,Italy,Milan,Electronics,4,0.05
0.598809515,Under 25,Home Office,2482.2,urgent,Cash,3,23,05/03/2026,03/03/2026,275.8,O1022,C054,Julia Fischer,julia.fischer@example.com,Germany,Karlsruhe,Home,12,0.25
0.263342294,65+,Consumer,1108.19,none,Credit Card,1,45,05/02/2026,01/02/2026,410.44,O1055,C007,Anna Müller,anna.muller@example.com,Italy,Milan,Office Supplies,3,0.1
0.237271748,45–54,Home Office,1001.41,check address,Bank Transfer,3,51,22/03/2026,21/03/2026,445.07,O1076,C044,Anna Müller,anna.muller@example.com,Spain,Barcelona,Electronics,3,0.25
0.628578962,55–64,Corporate,2604.13,missing phone,Bank Transfer,3,58,03/02/2026,28/01/2026,382.96,O1018,C049,Mehdi Karimi,mehdi.karimi@example.com,Netherlands,Amsterdam,Home,8,0.15
0.193561225,55–64,Consumer,822.38,missing phone,Bank Transfer,3,61,27/01/2026,26/01/2026,171.33,O1011,C005,Maha Zadeh,maha.zadeh@example.com,Germany,Karlsruhe,Electronics,6,0.2
0.310021705,35–44,Consumer,1299.38,missing phone,Bank Transfer,4,42,25/01/2026,17/01/2026,346.5,O1078,C005,Nina Weber,nina.weber@example.com,Germany,Karlsruhe,Home,5,0.25
0.382813168,Under 25,Consumer,1597.52,ok,Cash,2,22,16/03/2026,15/03/2026,420.4,O1072,C052,Emma Wilson,,Germany,Heidelberg,Electronics,4,0.05
0.636340553,55–64,Corporate,2635.92,check address,Paypal,3,57,21/05/2026,14/05/2026,366.1,O1095,C022,John Doe,john.doe@example.com,Spain,Madrid,Office Supplies,8,0.1
0.375688814,65+,Corporate,1568.34,urgent,Bank Transfer,3,45,18/04/2026,14/04/2026,280.06,O1016,C020,Maha Zadeh,maha.zadeh@example.com,Italy,Rome,Office Supplies,7,0.2
,55–64,Home Office,,none,Credit Card,4,56,01/04/2026,29/03/2026,,O1012,C019,John Doe,john.doe@example.com,Spain,Valencia,Electronics,1,0.05
0.517985453,25–34,Consumer,2151.16,ok,Credit Card,4,30,15/04/2026,08/04/2026,361.54,O1020,C055,Nina Weber,nina.weber@example.com,Netherlands,Rotterdam,Office Supplies,7,0.15
0.076395145,65+,Consumer,342.49,return risk,Cash,1,45,19/04/2026,11/04/2026,380.54,O1067,C032,Carlos Garcia,carlos.garcia@example.com,Germany,Karlsruhe,Office Supplies,1,0.1
0.047602306,65+,Consumer,224.56,urgent,Credit Card,3,45,13/05/2026,12/05/2026,28.07,O1047,C027,Laura Rossi,laura.rossi@example.com,France,Paris,Office Supplies,10,0.2
0.214038249,35–44,Consumer,906.25,missing phone,Cash,3,35,13/02/2026,08/02/2026,181.25,O1052,C055,John Doe,john.doe@example.com,Italy,Rome,Home,5,0
0.609696251,35–44,Corporate,2526.79,none,Credit Card,3,41,18/04/2026,,311.95,O1094,C037,Maha Zadeh,maha.zadeh@example.com,Italy,Rome,Furniture,9,0.1
0.025613981,55–64,Corporate,134.5,ok,Bank Transfer,2,62,16/04/2026,15/04/2026,13.45,O1090,C029,John Doe,john.doe@example.com,Spain,Barcelona,Furniture,10,0
0.096122623,65+,Consumer,423.29,check address,Paypal,2,76,05/04/2026,30/03/2026,117.58,O1066,C021,Mehdi Karimi,mehdi.karimi@example.com,Italy,Milan,Office Supplies,4,0.1
0.033199782,35–44,Home Office,165.57,check address,Credit Card,5,39,15/02/2026,06/02/2026,174.28,O1046,C022,Anna Müller,anna.muller@example.com,France,,Electronics,1,0.05
0.736403788,25–34,Home Office,3045.76,missing phone,Bank Transfer,2,27,20/02/2026,17/02/2026,376.02,O1026,C008,Mehdi Karimi,mehdi.karimi@example.com,Italy,Milan,Electronics,9,0.1
,35–44,Consumer,,check address,Credit Card,3,41,08/04/2026,08/04/2026,,O1014,C011,Julia Fischer,julia.fischer@example.com,Italy,Naples,Office Supplies,6,0.05
0.644783327,Under 25,Consumer,2670.5,check address,Cash,3,20,24/05/2026,16/05/2026,392.72,O1038,C035,Ali Reza,ali.reza@example.com,Netherlands,Rotterdam,Office Supplies,8,0.15
0.030523877,Under 25,Corporate,154.61,return risk,Paypal,1,16,29/03/2026,19/03/2026,171.79,O1023,C054,Nina Weber,nina.weber@example.com,Italy,Rome,Electronics,1,0.1
0.307995244,45–54,Home Office,1291.08,missing phone,Paypal,4,49,25/04/2026,24/04/2026,322.77,O1043,C007,Anna Müller,anna.muller@example.com,Spain,Madrid,Home,5,0.2
0.534077508,65+,Corporate,2217.07,return risk,Bank Transfer,4,67,19/03/2026,09/03/2026,291.72,O1065,C006,Luca Bianchi,,Germany,Karlsruhe,Office Supplies,8,0.05
0.534675681,45–54,Home Office,2219.52,check address,Credit Card,2,45,17/04/2026,08/04/2026,435.2,O1084,C010,Marie Dubois,marie.dubois@example.com,Germany,Mannheim,Electronics,6,0.15
0.327588438,55–64,Home Office,1371.33,ok,Bank Transfer,5,56,16/02/2026,11/02/2026,288.7,O1064,C034,Nina Weber,nina.weber@example.com,Germany,Heidelberg,Home,5,0.05
0.083434046,45–54,Corporate,371.32,missing phone,Credit Card,4,45,23/04/2026,16/04/2026,206.29,O1008,C043,Julia Fischer,julia.fischer@example.com,France,Lyon,Home,2,0.1
0.582138820,65+,Corporate,2413.92,missing phone,Cash,2,71,16/01/2026,11/01/2026,282.33,O1013,C003,Luca Bianchi,luca.bianchi@example.com,France,Paris,Office Supplies,9,0.05
0.085145551,35–44,Corporate,378.33,ok,Paypal,5,37,06/01/2026,06/01/2026,99.56,O1041,C030,Laura Rossi,,Germany,Karlsruhe,Home,4,0.05
0.663692896,45–54,Consumer,2747.95,missing phone,Bank Transfer,5,52,26/03/2026,21/03/2026,381.66,O1045,C047,Luca Bianchi,luca.bianchi@example.com,Germany,Karlsruhe,Home,8,0.1
0.078099326,65+,Home Office,349.47,urgent,Bank Transfer,2,45,18/01/2026,09/01/2026,183.93,O1061,C042,Anna Müller,anna.muller@example.com,France,Paris,Furniture,2,0.05
0.022859947,Under 25,Corporate,123.22,urgent,Bank Transfer,2,22,30/01/2026,25/01/2026,48.32,O1044,C030,Nina Weber,nina.weber@example.com,France,Lyon,Electronics,3,0.15
1,55–64,Corporate,4125.4,none,Credit Card,3,56,18/04/2026,08/04/2026,412.54,O1039,C048,Anna Müller,anna.muller@example.com,Italy,Rome,Furniture,10,0
0.563881137,35–44,Home Office,2339.14,missing phone,Credit Card,5,44,13/05/2026,10/05/2026,324.88,O1077,C004,Marie Dubois,marie.dubois@example.com,Netherlands,Amsterdam,Furniture,9,0.2
0.117185612,35–44,Home Office,509.56,urgent,Bank Transfer,3,40,01/05/2026,22/04/2026,339.71,O1024,C035,Peter Schmidt,peter.schmidt@example.com,Italy,Naples,Furniture,2,0.25
0.054062566,35–44,Corporate,251.02,return risk,Bank Transfer,4,39,14/05/2026,06/05/2026,313.77,O1025,C006,Marie Dubois,marie.dubois@example.com,Germany,Mannheim,Furniture,1,0.2
0.252663087,55–64,Corporate,1064.45,return risk,Paypal,5,60,23/01/2026,13/01/2026,178.9,O1059,C013,Luca Bianchi,luca.bianchi@example.com,France,Paris,Home,7,0.15
0.299999268,65+,Corporate,1258.33,none,Cash,4,67,29/03/2026,27/03/2026,441.52,O1058,C041,Ali Reza,,Germany,Karlsruhe,Office Supplies,3,0.05
0.154614106,55–64,Home Office,662.86,urgent,Cash,3,60,18/03/2026,09/03/2026,139.55,O1071,C035,Marie Dubois,marie.dubois@example.com,France,Paris,Electronics,5,0.05
0.050986252,65+,Home Office,238.42,missing phone,Bank Transfer,5,45,02/03/2026,01/03/2026,280.5,O1085,C049,Luca Bianchi,luca.bianchi@example.com,Germany,Karlsruhe,Furniture,1,0.15
0.532209746,65+,Consumer,2209.42,urgent,Cash,4,70,10/01/2026,03/01/2026,433.22,O1036,C017,Carlos Garcia,carlos.garcia@example.com,Spain,Madrid,Furniture,6,0.15
0.417453446,35–44,Corporate,1739.4,none,Paypal,3,42,16/03/2026,06/03/2026,231.92,O1093,C009,Luca Bianchi,luca.bianchi@example.com,Italy,Rome,Electronics,10,0.25
0.101288878,65+,Corporate,444.45,urgent,Credit Card,2,45,02/04/2026,01/04/2026,261.44,O1048,C046,Carlos Garcia,carlos.garcia@example.com,Germany,Mannheim,Electronics,2,0.15
0.183858626,35–44,Home Office,782.64,check address,Bank Transfer,2,35,02/02/2026,29/01/2026,86.96,O1005,C018,Maha Zadeh,maha.zadeh@example.com,Italy,Naples,Electronics,12,0.25
0.406080848,25–34,Corporate,1692.82,return risk,Paypal,1,28,25/05/2026,21/05/2026,254.56,O1068,C005,Anna Müller,,France,Lyon,Home,7,0.05
0.030538526,65+,Home Office,154.67,missing phone,Bank Transfer,3,75,27/04/2026,22/04/2026,27.62,O1015,C017,Emma Wilson,emma.wilson@example.com,Germany,Karlsruhe,Office Supplies,7,0.2
0.707112879,45–54,Corporate,2925.79,none,Bank Transfer,3,46,02/05/2026,22/04/2026,406.36,O1087,C045,Nina Weber,nina.weber@example.com,Germany,Heidelberg,Electronics,9,0.2
0.756023839,35–44,Home Office,3126.12,return risk,Cash,2,40,28/04/2026,20/04/2026,315.77,O1081,C048,Laura Rossi,laura.rossi@example.com,Netherlands,Rotterdam,Electronics,11,0.1
0.439295280,65+,Home Office,1828.86,return risk,Bank Transfer,4,76,07/02/2026,06/02/2026,215.16,O1029,C010,Nina Weber,nina.weber@example.com,Netherlands,Rotterdam,Office Supplies,10,0.15
0.392510883,25–34,Corporate,1637.24,ok,Cash,1,30,16/02/2026,10/02/2026,409.31,O1073,C001,Ali Reza,ali.reza@example.com,Spain,Barcelona,Electronics,5,0.2
0.472941860,65+,Consumer,1966.67,check address,Bank Transfer,1,69,28/01/2026,19/01/2026,312.17,O1003,C014,Carlos Garcia,carlos.garcia@example.com,Italy,Rome,Office Supplies,7,0.1
0.477485528,55–64,Consumer,1985.28,missing phone,Credit Card,2,61,13/04/2026,,330.88,O1009,C032,John Doe,john.doe@example.com,Spain,Madrid,Office Supplies,8,0.25
0.155881254,25–34,Corporate,668.05,missing phone,Credit Card,3,32,01/05/2026,29/04/2026,130.99,O1021,C042,Emma Wilson,emma.wilson@example.com,France,Lyon,Electronics,6,0.15
0.076805321,55–64,Corporate,344.17,urgent,Bank Transfer,4,61,13/04/2026,07/04/2026,40.49,O1089,C029,Julia Fischer,julia.fischer@example.com,Spain,Madrid,Office Supplies,10,0.15
0.037748333,35–44,Home Office,184.2,urgent,Paypal,3,42,27/03/2026,18/03/2026,15.35,O1069,C021,Tom Brown,tom.brown@example.com,Germany,Heidelberg,Home,12,0
0.025762914,Under 25,Corporate,135.11,check address,Bank Transfer,4,21,18/01/2026,14/01/2026,75.06,O1027,C029,John Doe,john.doe@example.com,France,Paris,Office Supplies,2,0.1
0.137789595,45–54,Corporate,593.95,ok,Cash,4,46,27/01/2026,24/01/2026,232.92,O1032,C036,Maha Zadeh,maha.zadeh@example.com,Germany,Karlsruhe,Electronics,3,0.15
0.418552130,Under 25,Home Office,1743.9,ok,Bank Transfer,5,20,22/04/2026,20/04/2026,290.65,O1060,C019,Marie Dubois,marie.dubois@example.com,France,Paris,Home,6,0
0.425683809,55–64,Consumer,1773.11,none,Bank Transfer,3,55,23/01/2026,16/01/2026,201.49,O1051,C039,Carlos Garcia,carlos.garcia@example.com,Spain,Madrid,Office Supplies,11,0.2
0.014553898,35–44,Corporate,89.2,check address,Bank Transfer,3,36,18/01/2026,12/01/2026,111.5,O1080,C046,Tom Brown,tom.brown@example.com,Netherlands,,Furniture,1,0.2
,25–34,Home Office,,missing phone,Paypal,3,31,20/04/2026,14/04/2026,,O1075,C040,Julia Fischer,julia.fischer@example.com,Netherlands,Amsterdam,Office Supplies,3,0.15
0.459818693,25–34,Consumer,1912.92,return risk,Cash,2,30,20/03/2026,12/03/2026,402.72,O1019,C049,Emma Wilson,,Germany,Mannheim,Electronics,5,0.05
0.320068558,45–54,Corporate,1340.53,return risk,Credit Card,5,50,10/02/2026,06/02/2026,239.38,O1057,C041,John Doe,,Spain,Barcelona,Office Supplies,7,0.2
0.121629177,35–44,Corporate,527.76,ok,Paypal,3,42,18/02/2026,17/02/2026,263.88,O1010,C004,Tom Brown,tom.brown@example.com,Spain,Barcelona,Furniture,2,0
,45–54,Corporate,,missing phone,Cash,4,46,26/01/2026,22/01/2026,,O1017,C051,Maha Zadeh,maha.zadeh@example.com,Italy,Milan,Office Supplies,4,0.05
0.503812433,45–54,Corporate,2093.11,check address,Bank Transfer,5,45,28/04/2026,25/04/2026,307.81,O1054,C029,Anna Müller,anna.muller@example.com,Spain,Valencia,Electronics,8,0.15
0.213615866,25–34,Corporate,904.52,return risk,Credit Card,4,25,22/05/2026,18/05/2026,226.13,O1004,C009,Nina Weber,nina.weber@example.com,Germany,Mannheim,Home,4,0
0.237059336,35–44,Consumer,1000.54,missing phone,Cash,3,44,25/05/2026,19/05/2026,131.65,O1040,C024,John Doe,john.doe@example.com,Italy,Rome,Office Supplies,8,0.05
0.017615563,25–34,Home Office,101.74,missing phone,Bank Transfer,4,26,18/01/2026,15/01/2026,63.59,O1006,C054,Carlos Garcia,carlos.garcia@example.com,Italy,Naples,Furniture,2,0.2
0.432473674,45–54,Corporate,1800.92,ok,Bank Transfer,3,52,08/04/2026,30/03/2026,285.86,O1002,C025,Sara Smith,sara.smith@example.com,Germany,Karlsruhe,Electronics,7,0.1
0.195389923,25–34,Consumer,829.87,missing phone,Cash,3,31,17/05/2026,15/05/2026,172.89,O1086,C012,Anna Müller,anna.muller@example.com,Germany,Karlsruhe,Electronics,6,0.2
0.115271460,35–44,Home Office,501.72,check address,Bank Transfer,5,37,08/05/2026,05/05/2026,334.48,O1053,C014,Marie Dubois,marie.dubois@example.com,France,Paris,Electronics,2,0.25
0.346400346,45–54,Home Office,1448.38,ok,Bank Transfer,3,45,27/03/2026,18/03/2026,226.31,O1074,C019,Julia Fischer,julia.fischer@example.com,Netherlands,,Electronics,8,0.2
0.430271424,45–54,Consumer,1791.9,ok,Bank Transfer,2,46,11/03/2026,03/03/2026,398.2,O1083,C039,Peter Schmidt,peter.schmidt@example.com,Italy,Milan,Electronics,6,0.25
